Row,OR,LB,UB,p_value
ppron,1.49218730181219,1.13063427279534,1.969357375117,0.00469414510403408
i,2.61690445551222,1.27383831935497,5.37602678866451,0.00882109588666821
shehe,201575905.570152,8.35283889797876,4.86455517731333e+15,0.0274725707067359
auxverb,0.638310763786499,0.518181600359469,0.78628926786103,2.44120581953971e-05
adverb,0.810706115647251,0.66341942264462,0.990692137604066,0.0402264037552857
Cognition,0.675950546239449,0.549910676109324,0.830878833257231,0.000199486647747299
cogproc,0.643454361462822,0.523198333525626,0.791350982514642,2.95437873335788e-05
cause,0.575307302059126,0.463781574113032,0.713651663362299,4.94413310389057e-07
swear,796972.054061403,99.0940613159869,6409712615.66794,0.00305890083340201
Social,1.60593330191229,1.23033591669604,2.09619319016276,0.000492166306012685
socbehav,1.41724634269523,1.08874163516064,1.84487038156361,0.00954301747419633
polite,487175094720.781,64235687418.5083,3694824208385.72,2.02276632585233e-149
moral,14708522.2600322,4940.94313844938,43785289774.0001,5.25112204546474e-05
comm,1.40081768779392,1.0471992853887,1.87384600220383,0.023165218105966
socrefs,1.5729211492248,1.18743353268247,2.08355320410196,0.00159028499701499
family,72880153.0493452,1477906.46772163,3593946453.65097,8.80244301498342e-20
female,771361.72562449,2.53630929878937,234592410335.126,0.0353358913531435
male,6420604929.70277,213176.565802339,193380391077072,1.77127473862549e-05
Culture,3.28412577536155,2.06241029190326,5.22955211712065,5.45158349150344e-07
politic,1.78508172027374,1.01404649905996,3.1423773475964,0.0446066941233651
tech,2.72148156149544,1.70931886256909,4.33299020548327,2.45091003107623e-05
Lifestyle,2.0208239207674,1.42595987729222,2.86384587938082,7.66084922838763e-05
leisure,4.52768284077114,1.16490596379696,17.5979113711418,0.0292296405747954
money,1.52122110746832,1.04721588047963,2.20977708698158,0.0276525874518349
acquire,1.6992815741121,1.05727493452188,2.73113243663789,0.028520524129446
risk,0.666815953191351,0.55368648733071,0.803060081119354,1.93531693734676e-05
focuspresent,0.709131350967224,0.580682722472124,0.865993172284786,0.000748517551093511
assent,29248468.1641505,328392.479556172,2605031915.18123,6.11911443050936e-14
AllPunc,1.91730661842204,1.31662511854106,2.79203595410543,0.000687645588375189
Exclam,4.04688014752967,1.07243137077437,15.2711300459667,0.0390930451628391
Apostro,1.81031828658869,1.23482125242907,2.65402971669832,0.00236100540914108
OtherP,1.68108048255327,1.07461031176927,2.62981990575605,0.0228949264104772
