Row,OR,LB,UB,p_value
WC,1.04388064295065,0.877479673606137,1.24183708124978,0.627864743524149
Analytic,1.07453731026038,0.906822087936199,1.27327118130679,0.406357534094115
Tone,1.06666631431153,0.893665838544674,1.27315712094334,0.474723065373588
WPS,0.854515947487916,0.721531780126932,1.01201017699139,0.0685050551267486
BigWords,0.994297155464533,0.835474545421992,1.18331173436949,0.948644246237877
Dic,0.556658444387904,0.449188985705435,0.68984020884155,8.670284543126e-08
Linguistic,0.674337015945021,0.554714005946167,0.819756498302235,7.65876605208954e-05
xFunction,0.707225414198599,0.58526812765762,0.854595975506421,0.000334434269704246
pronoun,1.15661169914036,0.966127703721401,1.38465196416116,0.113038793910203
ppron,2.06231626099153,1.61641767842005,2.63121866156975,5.76269343620577e-09
i,1.69916884600044,1.21284259313779,2.38050245230006,0.00205804119632748
we,0.912365833465207,0.771563944707723,1.07886251008008,0.28353340100382
you,1.08297047258866,0.897749313832102,1.30640594922052,0.404906286643639
they,1.08261974830375,0.901116747899749,1.3006810961499,0.396496737457611
det,0.709204438104728,0.59264997481374,0.848681272930988,0.000176035295714842
article,0.831575007491661,0.697897435634587,0.990857621444003,0.0391393130088307
number,0.512259537595987,0.417772051369242,0.628117254368765,1.27426931861363e-10
prep,0.917699612399317,0.770628982907659,1.09283792496391,0.335161581677035
auxverb,0.730719888370329,0.613695279910555,0.870059739318459,0.000426451055386708
adverb,0.70318263758172,0.591307664682331,0.836224272624687,6.8023147090277e-05
conj,1.04251150817233,0.875434437331834,1.24147531594053,0.640375816557688
negate,0.843964050907614,0.713623586038415,0.998110675094821,0.0474685764747583
verb,1.07352358528771,0.900958331196513,1.27914116365233,0.427487304092407
adj,0.52462396927492,0.432774936351384,0.635966378871589,5.05686935791585e-11
quantity,0.587371081660947,0.488122031150013,0.706800278526091,1.7547977774209e-08
Drives,4.60488800009175,3.41395311827913,6.21127260941351,1.48952564368554e-23
affiliation,1.76850467570659,1.37950339754644,2.26719904681552,6.84509146135312e-06
achieve,1.06999355254053,0.89448886065836,1.27993343777992,0.459218353666936
allnone,0.915027562667898,0.772924065828548,1.08325704614259,0.302416395785098
cause,0.628597808556637,0.525826193276398,0.751455918276223,3.44714611624347e-07
discrep,1.01214096155249,0.849754329509514,1.20555940755691,0.892409558520148
tentat,0.817341244729912,0.690454193595551,0.9675467489853,0.0191146155827291
differ,0.775491916488083,0.653716237462614,0.919952233208454,0.00353077829976658
memory,1.32835607341339,0.965068944474912,1.82839772005543,0.0815296435411639
Affect,1.17644034388789,0.982064581182771,1.40928805421349,0.0778033880362489
tone_pos,1.13383115816432,0.945773310556513,1.35928248437016,0.174637191619281
tone_neg,1.11745025678,0.933325183496581,1.33789926432673,0.226715636502186
emotion,1.07114087728452,0.894937800615997,1.28203633615669,0.453570996909668
emo_pos,1.13351959710323,0.928993829620601,1.38307342422478,0.217016210174727
emo_neg,1.07884735378342,0.900580420339319,1.29240164062966,0.410163424533088
emo_anx,1.03895571100126,0.86771225187124,1.24399415485298,0.677502384029191
emo_anger,1.37259602266469,1.0477039623934,1.79823681980836,0.0215526561989068
emo_sad,0.9296574673733,0.788645515392775,1.09588273790222,0.384811472608916
swear,1.25740095195843,0.871526380666123,1.8141242641187,0.220677268829257
Social,3.3039073134375,2.56203700378613,4.26059558064721,3.22852088188234e-20
prosocial,1.56474642676946,1.21621432193239,2.01315782583254,0.000496640328260002
conflict,1.60624419233267,1.25396523434396,2.05748958164077,0.000175736651003628
moral,2.68805055398226,1.80734540821696,3.99791636281234,1.04833825957185e-06
