Row,OR,LB,UB,p_value,VIF
Authentic,1.48050495256307,1.10314476734629,1.98695128639966,0.00895027141815484,1.42536498567017
shehe,3.92736856890626,2.21548599660842,6.96200467962562,2.82193373275499e-06,2.03380368397828
power,4.57244232015085,2.98497605362288,7.00415292971323,2.82488815385942e-12,1.23795770018701
cogproc,0.643424663687006,0.433913649334793,0.954096047624701,0.028250790752947,2.33212276475819
certitude,0.50981899058468,0.362069613066005,0.717860305811966,0.000114087625238487,1.37941902284215
socbehav,2.22029630290454,1.55494360955643,3.17035012870842,1.13861533010808e-05,1.45308332247723
ethnicity,1.82409637995609,1.26754006644446,2.62502755648767,0.00120983675333292,1.09642111688888
money,3.10938630201183,1.90372938739012,5.07860163276325,5.84128539401132e-06,1.27614059355408
acquire,1.78685088186844,1.3051061703982,2.44641864888269,0.000293176365601952,1.0690021163487
focuspresent,0.566463621994339,0.413583722191288,0.775855087678072,0.000398040844177317,1.42745459034808
