Row,OR,LB,UB,p_value
Clout,1.93718156939629,1.58990665811655,2.36030990476773,5.37473799938129e-11
Authentic,0.724166600857163,0.610066401871181,0.859606862775163,0.000224798620860289
shehe,6.21820634675987,3.47991688534708,11.1112108262402,6.80339222049638e-10
ipron,0.646897790822738,0.54205188206655,0.772023427307204,1.37940473441261e-06
power,4.61459886506633,3.33933496461268,6.37687530934511,1.92347809573386e-20
Cognition,0.583944347151877,0.487062435990546,0.700097103315211,6.17171205492655e-09
cogproc,0.57917462416101,0.482920345869186,0.694614025152115,3.87027315313762e-09
insight,0.769164152286721,0.648253559677896,0.912626678759637,0.0026313485917499
certitude,0.693579727437455,0.585163370072207,0.822082965057866,2.45275911127289e-05
socbehav,2.48860151564696,1.95656830608782,3.16530605367087,1.09132399712128e-13
polite,1.73377319793325,1.21067557501807,2.48288605461195,0.00266975160437029
socrefs,2.57426585346336,2.00778178024928,3.30058014745243,8.85440186396609e-14
female,1.59331603882664,1.16754667171556,2.17435076565462,0.00331915019840168
ethnicity,1.44319916944146,1.11365841049729,1.87025377175258,0.00553739952860865
Lifestyle,1.36737668790711,1.12880474836294,1.65637060735561,0.00138122556268989
money,2.03426756109436,1.40552251699808,2.94427478754255,0.00016682837179102
acquire,1.31765031356148,1.07280256581654,1.61838012338011,0.00853821405109996
fulfill,0.754891246370418,0.634946526529791,0.897494151139271,0.00144736403567653
allure,0.813355413019158,0.685350791200623,0.96526776707829,0.0180487435600732
focuspast,1.43412310691123,1.18160196908666,1.74061074675297,0.000263592872630116
focuspresent,0.644868631140719,0.54134273331132,0.768192728635283,8.93713495487221e-07
Period,1.38502670201117,1.13882884135224,1.68444887908367,0.00110679744371184
Apostro,1.31965601976526,1.08479347717996,1.60536733225009,0.00553762503428286
