Row,OR,LB,UB,p_value
Clout,1.93718156939629,1.58990665811655,2.36030990476773,5.37473799938129e-11
Authentic,0.724166600857163,0.610066401871181,0.859606862775163,0.000224798620860289
Dic,0.556658444387904,0.449188985705435,0.68984020884155,8.670284543126e-08
Linguistic,0.674337015945021,0.554714005946167,0.819756498302235,7.65876605208954e-05
xFunction,0.707225414198599,0.58526812765762,0.854595975506421,0.000334434269704246
ppron,2.06231626099153,1.61641767842005,2.63121866156975,5.76269343620577e-09
i,1.69916884600044,1.21284259313779,2.38050245230006,0.00205804119632748
shehe,6.21820634675987,3.47991688534708,11.1112108262402,6.80339222049638e-10
ipron,0.646897790822738,0.54205188206655,0.772023427307204,1.37940473441261e-06
det,0.709204438104728,0.59264997481374,0.848681272930988,0.000176035295714842
article,0.831575007491661,0.697897435634587,0.990857621444003,0.0391393130088307
number,0.512259537595987,0.417772051369242,0.628117254368765,1.27426931861363e-10
auxverb,0.730719888370329,0.613695279910555,0.870059739318459,0.000426451055386708
adverb,0.70318263758172,0.591307664682331,0.836224272624687,6.8023147090277e-05
negate,0.843964050907614,0.713623586038415,0.998110675094821,0.0474685764747583
adj,0.52462396927492,0.432774936351384,0.635966378871589,5.05686935791585e-11
quantity,0.587371081660947,0.488122031150013,0.706800278526091,1.7547977774209e-08
Drives,4.60488800009175,3.41395311827913,6.21127260941351,1.48952564368554e-23
affiliation,1.76850467570659,1.37950339754644,2.26719904681552,6.84509146135312e-06
power,4.61459886506633,3.33933496461268,6.37687530934511,1.92347809573386e-20
Cognition,0.583944347151877,0.487062435990546,0.700097103315211,6.17171205492655e-09
cogproc,0.57917462416101,0.482920345869186,0.694614025152115,3.87027315313762e-09
insight,0.769164152286721,0.648253559677896,0.912626678759637,0.0026313485917499
cause,0.628597808556637,0.525826193276398,0.751455918276223,3.44714611624347e-07
tentat,0.817341244729912,0.690454193595551,0.9675467489853,0.0191146155827291
certitude,0.693579727437455,0.585163370072207,0.822082965057866,2.45275911127289e-05
differ,0.775491916488083,0.653716237462614,0.919952233208454,0.00353077829976658
emo_anger,1.37259602266469,1.0477039623934,1.79823681980836,0.0215526561989068
Social,3.3039073134375,2.56203700378613,4.26059558064721,3.22852088188234e-20
socbehav,2.48860151564696,1.95656830608782,3.16530605367087,1.09132399712128e-13
prosocial,1.56474642676946,1.21621432193239,2.01315782583254,0.000496640328260002
polite,1.73377319793325,1.21067557501807,2.48288605461195,0.00266975160437029
conflict,1.60624419233267,1.25396523434396,2.05748958164077,0.000175736651003628
moral,2.68805055398226,1.80734540821696,3.99791636281234,1.04833825957185e-06
comm,1.42337520638012,1.16662007819576,1.73663818753313,0.000504259443762307
socrefs,2.57426585346336,2.00778178024928,3.30058014745243,8.85440186396609e-14
female,1.59331603882664,1.16754667171556,2.17435076565462,0.00331915019840168
male,3.883606761358,2.40757312184837,6.26456631368535,2.67291778587117e-08
Culture,9.01915066015065,5.7391110636953,14.1738115411412,1.48393346877041e-21
politic,7.82024375052017,4.97798423564422,12.2853366789811,4.47275937036753e-19
ethnicity,1.44319916944146,1.11365841049729,1.87025377175258,0.00553739952860865
Lifestyle,1.36737668790711,1.12880474836294,1.65637060735561,0.00138122556268989
leisure,1.30952169775954,1.02032429066576,1.68068827978611,0.034172132515642
home,2.90683200566294,1.73257577633216,4.87694242559149,5.3043802898436e-05
money,2.03426756109436,1.40552251699808,2.94427478754255,0.00016682837179102
relig,2.04122773631192,1.01735446263876,4.095534864694,0.0445977802056225
Physical,0.271230604133784,0.215741373956964,0.340991805463574,5.52735233746726e-29
health,0.222237499542104,0.172961415482265,0.285552162400007,6.30831793602191e-32
illness,0.192493375744476,0.147268016382125,0.251607243825153,1.73977506867421e-33
substances,230501.854801893,795.02572952473,66829415.8213911,1.96597339683447e-05
death,0.702578963794731,0.593858598576372,0.831203255371231,3.86427004340513e-05
acquire,1.31765031356148,1.07280256581654,1.61838012338011,0.00853821405109996
fulfill,0.754891246370418,0.634946526529791,0.897494151139271,0.00144736403567653
risk,0.705984662773953,0.595872577263619,0.836444506912675,5.71308183194903e-05
curiosity,0.675228894405625,0.566019019734353,0.805510140020072,1.28421378704911e-05
allure,0.813355413019158,0.685350791200623,0.96526776707829,0.0180487435600732
feeling,0.653816619676981,0.5184289868202,0.824560707509376,0.000331258232472967
focuspast,1.43412310691123,1.18160196908666,1.74061074675297,0.000263592872630116
focuspresent,0.644868631140719,0.54134273331132,0.768192728635283,8.93713495487221e-07
Period,1.38502670201117,1.13882884135224,1.68444887908367,0.00110679744371184
Apostro,1.31965601976526,1.08479347717996,1.60536733225009,0.00553762503428286
OtherP,0.622018283959957,0.514374819225991,0.752188348105163,9.71401126101171e-07
